ezqcid,AnatAll.lcj.score1,AnatRestAll.lcj.score1,hcpall.lcj.score1,AnatAll.lcj.score2,AnatRestAll.lcj.score2,AnatAll.lcj.score3,AnatRestAll.lcj.score3,AnatRestAll.lcj.score4,AnatAll.lcj.tag1,AnatRestAll.lcj.tag1,hcpall.lcj.tag1,AnatAll.lcj.tag2,AnatRestAll.lcj.tag2,hcpall.lcj.tag2,AnatRestAll.lcj.tag3,hcpall.lcj.tag3,sublist,subid,SESSION,moddir,mod,RUN,isnii,rest_check,fsrecon_dir,anat_check,fs_check,ezqcbatch,AnatAll.lcj.button,AnatRestAll.lcj.button,hcpall.lcj.button,AnatAll.lcj.control,AnatRestAll.lcj.control,hcpall.lcj.control,AnatAll.lcj.filename,AnatRestAll.lcj.filename,hcpall.lcj.filename,AnatAll.lcj.filepath,AnatRestAll.lcj.filepath,hcpall.lcj.filepath,AnatAll.lcj.interper,AnatRestAll.lcj.interper,hcpall.lcj.interper,AnatAll.lcj.label,AnatRestAll.lcj.label,hcpall.lcj.label,AnatAll.lcj.score1label,AnatRestAll.lcj.score1label,hcpall.lcj.score1label,AnatAll.lcj.score1num,AnatRestAll.lcj.score1num,hcpall.lcj.score1num,AnatAll.lcj.score1num_,AnatRestAll.lcj.score1num_,hcpall.lcj.score1num_,AnatAll.lcj.score2label,AnatRestAll.lcj.score2label,AnatAll.lcj.score2num,AnatRestAll.lcj.score2num,AnatAll.lcj.score2num_,AnatRestAll.lcj.score2num_,AnatAll.lcj.score3label,AnatRestAll.lcj.score3label,AnatAll.lcj.score3num,AnatRestAll.lcj.score3num,AnatAll.lcj.score3num_,AnatRestAll.lcj.score3num_,AnatRestAll.lcj.score4label,AnatRestAll.lcj.score4num,AnatRestAll.lcj.score4num_,AnatAll.lcj.select_filter,AnatRestAll.lcj.select_filter,hcpall.lcj.select_filter,AnatAll.lcj.showing,AnatRestAll.lcj.showing,hcpall.lcj.showing,AnatAll.lcj.tag1label,AnatRestAll.lcj.tag1label,hcpall.lcj.tag1label,AnatAll.lcj.tag2label,AnatRestAll.lcj.tag2label,hcpall.lcj.tag2label,AnatRestAll.lcj.tag3label,hcpall.lcj.tag3label,AnatAll.lcj.time,AnatRestAll.lcj.time,hcpall.lcj.time,AnatAll.lcj.watch_mode,AnatRestAll.lcj.watch_mode,hcpall.lcj.watch_mode
CCNPCKG0057_03_anat,3.0,,,3.0,,3.0,,,False,,,False,,,,,CCNPCKG0057_03,CCNPCKG0057,3,anat,anat,,1,,CCNPCKG0057_03,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0057_03_anat._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0057_03_anat._.lcj._.3._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:39:39,,,False,,
CCNPCKG0058_01_anat,3.0,,,3.0,,1.0,,,False,,,False,,,,,CCNPCKG0058_01,CCNPCKG0058,1,anat,anat,,1,,CCNPCKG0058_01,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0058_01_anat._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0058_01_anat._.lcj._.3._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:40:01,,,False,,
CCNPCKG0058_02_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0058_02,CCNPCKG0058,2,anat,anat,,1,,CCNPCKG0058_02,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0058_02_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0058_02_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:40:27,,,False,,
CCNPCKG0058_03_anat,2.0,,,3.0,,1.0,,,False,,,False,,,,,CCNPCKG0058_03,CCNPCKG0058,3,anat,anat,,1,,CCNPCKG0058_03,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0058_03_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0058_03_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:41:39,,,False,,
CCNPCKG0059_01_anat,3.0,,,3.0,,3.0,,,False,,,False,,,,,CCNPCKG0059_01,CCNPCKG0059,1,anat,anat,,1,,CCNPCKG0059_01,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0059_01_anat._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0059_01_anat._.lcj._.3._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:41:56,,,False,,
CCNPCKG0059_02_anat,3.0,,,3.0,,3.0,,,False,,,False,,,,,CCNPCKG0059_02,CCNPCKG0059,2,anat,anat,,1,,CCNPCKG0059_02,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0059_02_anat._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0059_02_anat._.lcj._.3._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:42:15,,,False,,
CCNPCKG0060_01_anat,1.0,,,2.0,,1.0,,,False,,,False,,,,,CCNPCKG0060_01,CCNPCKG0060,1,anat,anat,,1,,CCNPCKG0060_01,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0060_01_anat._.lcj._.1._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0060_01_anat._.lcj._.1._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:42:44,,,False,,
CCNPCKG0060_02_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0060_02,CCNPCKG0060,2,anat,anat,,1,,CCNPCKG0060_02,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0060_02_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0060_02_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:43:03,,,False,,
CCNPCKG0061_01_anat,2.0,,,3.0,,3.0,,,False,,,False,,,,,CCNPCKG0061_01,CCNPCKG0061,1,anat,anat,,1,,CCNPCKG0061_01,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0061_01_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0061_01_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:43:20,,,False,,
CCNPCKG0061_02_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0061_02,CCNPCKG0061,2,anat,anat,,1,,CCNPCKG0061_02,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0061_02_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0061_02_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:43:48,,,False,,
CCNPCKG0061_03_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0061_03,CCNPCKG0061,3,anat,anat,,1,,CCNPCKG0061_03,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0061_03_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0061_03_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:44:26,,,False,,
CCNPCKG0062_01_anat,3.0,,,3.0,,3.0,,,False,,,False,,,,,CCNPCKG0062_01,CCNPCKG0062,1,anat,anat,,1,,CCNPCKG0062_01,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0062_01_anat._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0062_01_anat._.lcj._.3._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:45:22,,,False,,
CCNPCKG0062_02_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0062_02,CCNPCKG0062,2,anat,anat,,1,,CCNPCKG0062_02,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0062_02_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0062_02_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:45:51,,,False,,
CCNPCKG0062_03_anat,1.0,,,3.0,,1.0,,,False,,,False,,,,,CCNPCKG0062_03,CCNPCKG0062,3,anat,anat,,1,,CCNPCKG0062_03,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0062_03_anat._.lcj._.1._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0062_03_anat._.lcj._.1._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:46:15,,,False,,
CCNPCKG0063_01_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0063_01,CCNPCKG0063,1,anat,anat,,1,,CCNPCKG0063_01,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0063_01_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0063_01_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:46:43,,,False,,
CCNPCKG0063_02_anat,3.0,,,3.0,,3.0,,,False,,,False,,,,,CCNPCKG0063_02,CCNPCKG0063,2,anat,anat,,1,,CCNPCKG0063_02,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0063_02_anat._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0063_02_anat._.lcj._.3._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:47:11,,,False,,
CCNPCKG0063_03_anat,2.0,,,3.0,,2.0,,,False,,,False,,,,,CCNPCKG0063_03,CCNPCKG0063,3,anat,anat,,1,,CCNPCKG0063_03,3.0,2.0,1,{},,,False,,,AnatAll._.CCNPCKG0063_03_anat._.lcj._.2._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatAll/lcj/AnatAll._.CCNPCKG0063_03_anat._.lcj._.2._.False.json,,,shell,,,AnatAll,,,headmotion,,,0-4,,,"0,1,2,3,4",,,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",,,,,SELECT * FROM df WHERE mod = 'anat',,,True,,,checkdone,,,anatfailed,,,,,2026-05-09 17:47:41,,,False,,
