group,imgid,sublist,subid,SESSION,moddir,mod,RUN,isnii,rest_check,fsrecon_dir,anat_check,fs_check,ezqcid,ezqcbatch
CCNPPEKI,CCNPPEK0195_02_rest01,CCNPPEK0195_02,CCNPPEK0195,2,rest01,rest,1.0,1,5.0,CCNPPEK0195_02,3.0,2.0,CCNPPEK0195_02_rest01,1
CCNPPEKI,CCNPPEK0195_02_rest02,CCNPPEK0195_02,CCNPPEK0195,2,rest02,rest,2.0,1,5.0,CCNPPEK0195_02,3.0,2.0,CCNPPEK0195_02_rest02,1
CCNPPEKI,CCNPPEK0196_01_rest01,CCNPPEK0196_01,CCNPPEK0196,1,rest01,rest,1.0,1,5.0,CCNPPEK0196_01,3.0,2.0,CCNPPEK0196_01_rest01,1
CCNPPEKI,CCNPPEK0196_01_rest02,CCNPPEK0196_01,CCNPPEK0196,1,rest02,rest,2.0,1,5.0,CCNPPEK0196_01,3.0,2.0,CCNPPEK0196_01_rest02,1
CCNPPEKI,CCNPPEK0197_01_rest01,CCNPPEK0197_01,CCNPPEK0197,1,rest01,rest,1.0,1,3.0,CCNPPEK0197_01,3.0,,CCNPPEK0197_01_rest01,1
CCNPPEKI,CCNPPEK0197_01_rest02,CCNPPEK0197_01,CCNPPEK0197,1,rest02,rest,2.0,1,3.0,CCNPPEK0197_01,3.0,,CCNPPEK0197_01_rest02,1
CCNPPEKI,CCNPPEK0198_01_rest01,CCNPPEK0198_01,CCNPPEK0198,1,rest01,rest,1.0,1,3.0,CCNPPEK0198_01,3.0,,CCNPPEK0198_01_rest01,1
CCNPPEKI,CCNPPEK0199_01_rest01,CCNPPEK0199_01,CCNPPEK0199,1,rest01,rest,1.0,1,5.0,CCNPPEK0199_01,3.0,2.0,CCNPPEK0199_01_rest01,1
CCNPPEKI,CCNPPEK0199_01_rest02,CCNPPEK0199_01,CCNPPEK0199,1,rest02,rest,2.0,1,5.0,CCNPPEK0199_01,3.0,2.0,CCNPPEK0199_01_rest02,1
CCNPPEKI,CCNPPEK0199_02_rest01,CCNPPEK0199_02,CCNPPEK0199,2,rest01,rest,1.0,1,5.0,CCNPPEK0199_02,3.0,2.0,CCNPPEK0199_02_rest01,1
CCNPPEKI,CCNPPEK0199_02_rest02,CCNPPEK0199_02,CCNPPEK0199,2,rest02,rest,2.0,1,5.0,CCNPPEK0199_02,3.0,2.0,CCNPPEK0199_02_rest02,1
CCNPPEKI,CCNPPEK0200_01_rest01,CCNPPEK0200_01,CCNPPEK0200,1,rest01,rest,1.0,1,5.0,CCNPPEK0200_01,3.0,2.0,CCNPPEK0200_01_rest01,1
CCNPPEKI,CCNPPEK0200_01_rest02,CCNPPEK0200_01,CCNPPEK0200,1,rest02,rest,2.0,1,5.0,CCNPPEK0200_01,3.0,2.0,CCNPPEK0200_01_rest02,1
CCNPPEKI,CCNPPEK0201_01_rest01,CCNPPEK0201_01,CCNPPEK0201,1,rest01,rest,1.0,1,5.0,CCNPPEK0201_01,3.0,2.0,CCNPPEK0201_01_rest01,1
CCNPPEKI,CCNPPEK0201_01_rest02,CCNPPEK0201_01,CCNPPEK0201,1,rest02,rest,2.0,1,5.0,CCNPPEK0201_01,3.0,2.0,CCNPPEK0201_01_rest02,1
CCNPPEKI,CCNPPEK0202_01_rest01,CCNPPEK0202_01,CCNPPEK0202,1,rest01,rest,1.0,1,5.0,CCNPPEK0202_01,3.0,2.0,CCNPPEK0202_01_rest01,1
CCNPPEKI,CCNPPEK0202_01_rest02,CCNPPEK0202_01,CCNPPEK0202,1,rest02,rest,2.0,1,5.0,CCNPPEK0202_01,3.0,2.0,CCNPPEK0202_01_rest02,1
CCNPPEKI,CCNPPEK0203_01_rest01,CCNPPEK0203_01,CCNPPEK0203,1,rest01,rest,1.0,1,5.0,CCNPPEK0203_01,3.0,2.0,CCNPPEK0203_01_rest01,1
CCNPPEKI,CCNPPEK0203_01_rest02,CCNPPEK0203_01,CCNPPEK0203,1,rest02,rest,2.0,1,5.0,CCNPPEK0203_01,3.0,2.0,CCNPPEK0203_01_rest02,1
CCNPPEKI,CCNPPEK0204_01_rest01,CCNPPEK0204_01,CCNPPEK0204,1,rest01,rest,1.0,1,5.0,CCNPPEK0204_01,3.0,2.0,CCNPPEK0204_01_rest01,1
CCNPPEKI,CCNPPEK0204_01_rest02,CCNPPEK0204_01,CCNPPEK0204,1,rest02,rest,2.0,1,5.0,CCNPPEK0204_01,3.0,2.0,CCNPPEK0204_01_rest02,1
CCNPPEKI,CCNPPEK0205_01_rest01,CCNPPEK0205_01,CCNPPEK0205,1,rest01,rest,1.0,1,5.0,CCNPPEK0205_01,3.0,2.0,CCNPPEK0205_01_rest01,1
CCNPPEKI,CCNPPEK0205_01_rest02,CCNPPEK0205_01,CCNPPEK0205,1,rest02,rest,2.0,1,5.0,CCNPPEK0205_01,3.0,2.0,CCNPPEK0205_01_rest02,1
CCNPPEKI,CCNPPEK0207_01_rest01,CCNPPEK0207_01,CCNPPEK0207,1,rest01,rest,1.0,1,5.0,CCNPPEK0207_01,3.0,2.0,CCNPPEK0207_01_rest01,1
CCNPPEKI,CCNPPEK0207_01_rest02,CCNPPEK0207_01,CCNPPEK0207,1,rest02,rest,2.0,1,5.0,CCNPPEK0207_01,3.0,2.0,CCNPPEK0207_01_rest02,1
CCNPPEKI,CCNPPEK0208_01_rest01,CCNPPEK0208_01,CCNPPEK0208,1,rest01,rest,1.0,1,5.0,CCNPPEK0208_01,3.0,2.0,CCNPPEK0208_01_rest01,1
CCNPPEKI,CCNPPEK0208_01_rest02,CCNPPEK0208_01,CCNPPEK0208,1,rest02,rest,2.0,1,5.0,CCNPPEK0208_01,3.0,2.0,CCNPPEK0208_01_rest02,1
CCNPPEKI,CCNPPEK0209_01_rest01,CCNPPEK0209_01,CCNPPEK0209,1,rest01,rest,1.0,1,5.0,CCNPPEK0209_01,3.0,2.0,CCNPPEK0209_01_rest01,1
CCNPPEKI,CCNPPEK0210_01_rest01,CCNPPEK0210_01,CCNPPEK0210,1,rest01,rest,1.0,1,5.0,CCNPPEK0210_01,3.0,2.0,CCNPPEK0210_01_rest01,1
CCNPPEKI,CCNPPEK0210_01_rest02,CCNPPEK0210_01,CCNPPEK0210,1,rest02,rest,2.0,1,5.0,CCNPPEK0210_01,3.0,2.0,CCNPPEK0210_01_rest02,1
CCNPPEKI,CCNPPEK0210_02_rest01,CCNPPEK0210_02,CCNPPEK0210,2,rest01,rest,1.0,1,5.0,CCNPPEK0210_02,3.0,2.0,CCNPPEK0210_02_rest01,1
CCNPPEKI,CCNPPEK0210_02_rest02,CCNPPEK0210_02,CCNPPEK0210,2,rest02,rest,2.0,1,5.0,CCNPPEK0210_02,3.0,2.0,CCNPPEK0210_02_rest02,1
CCNPPEKI,CCNPPEK0211_01_rest01,CCNPPEK0211_01,CCNPPEK0211,1,rest01,rest,1.0,1,5.0,CCNPPEK0211_01,3.0,2.0,CCNPPEK0211_01_rest01,1
CCNPPEKI,CCNPPEK0211_01_rest02,CCNPPEK0211_01,CCNPPEK0211,1,rest02,rest,2.0,1,5.0,CCNPPEK0211_01,3.0,2.0,CCNPPEK0211_01_rest02,1
CCNPPEKI,CCNPPEK0212_01_rest01,CCNPPEK0212_01,CCNPPEK0212,1,rest01,rest,1.0,1,5.0,CCNPPEK0212_01,3.0,2.0,CCNPPEK0212_01_rest01,1
CCNPPEKI,CCNPPEK0212_01_rest02,CCNPPEK0212_01,CCNPPEK0212,1,rest02,rest,2.0,1,5.0,CCNPPEK0212_01,3.0,2.0,CCNPPEK0212_01_rest02,1
CCNPPEKI,CCNPPEK0212_02_rest01,CCNPPEK0212_02,CCNPPEK0212,2,rest01,rest,1.0,1,5.0,CCNPPEK0212_02,3.0,2.0,CCNPPEK0212_02_rest01,1
CCNPPEKI,CCNPPEK0212_02_rest02,CCNPPEK0212_02,CCNPPEK0212,2,rest02,rest,2.0,1,5.0,CCNPPEK0212_02,3.0,2.0,CCNPPEK0212_02_rest02,1
CCNPPEKI,CCNPPEK0213_01_rest01,CCNPPEK0213_01,CCNPPEK0213,1,rest01,rest,1.0,1,5.0,CCNPPEK0213_01,3.0,2.0,CCNPPEK0213_01_rest01,1
CCNPPEKI,CCNPPEK0213_01_rest02,CCNPPEK0213_01,CCNPPEK0213,1,rest02,rest,2.0,1,5.0,CCNPPEK0213_01,3.0,2.0,CCNPPEK0213_01_rest02,1
CCNPPEKI,CCNPPEK0214_01_rest01,CCNPPEK0214_01,CCNPPEK0214,1,rest01,rest,1.0,1,5.0,CCNPPEK0214_01,3.0,2.0,CCNPPEK0214_01_rest01,1
CCNPPEKI,CCNPPEK0214_01_rest02,CCNPPEK0214_01,CCNPPEK0214,1,rest02,rest,2.0,1,5.0,CCNPPEK0214_01,3.0,2.0,CCNPPEK0214_01_rest02,1
CCNPPEKI,CCNPPEK0215_01_rest01,CCNPPEK0215_01,CCNPPEK0215,1,rest01,rest,1.0,1,5.0,CCNPPEK0215_01,3.0,2.0,CCNPPEK0215_01_rest01,1
CCNPPEKI,CCNPPEK0215_01_rest02,CCNPPEK0215_01,CCNPPEK0215,1,rest02,rest,2.0,1,5.0,CCNPPEK0215_01,3.0,2.0,CCNPPEK0215_01_rest02,1
CCNPPEKI,CCNPPEK0216_01_rest01,CCNPPEK0216_01,CCNPPEK0216,1,rest01,rest,1.0,1,5.0,CCNPPEK0216_01,3.0,2.0,CCNPPEK0216_01_rest01,1
CCNPPEKI,CCNPPEK0216_01_rest02,CCNPPEK0216_01,CCNPPEK0216,1,rest02,rest,2.0,1,5.0,CCNPPEK0216_01,3.0,2.0,CCNPPEK0216_01_rest02,1
CCNPPEKI,CCNPPEK0218_01_rest01,CCNPPEK0218_01,CCNPPEK0218,1,rest01,rest,1.0,1,5.0,CCNPPEK0218_01,3.0,2.0,CCNPPEK0218_01_rest01,1
CCNPPEKI,CCNPPEK0218_01_rest02,CCNPPEK0218_01,CCNPPEK0218,1,rest02,rest,2.0,1,5.0,CCNPPEK0218_01,3.0,2.0,CCNPPEK0218_01_rest02,1
CCNPPEKI,CCNPPEK0219_01_rest01,CCNPPEK0219_01,CCNPPEK0219,1,rest01,rest,1.0,1,5.0,CCNPPEK0219_01,3.0,2.0,CCNPPEK0219_01_rest01,1
CCNPPEKI,CCNPPEK0219_01_rest02,CCNPPEK0219_01,CCNPPEK0219,1,rest02,rest,2.0,1,5.0,CCNPPEK0219_01,3.0,2.0,CCNPPEK0219_01_rest02,1
CCNPPEKI,CCNPPEK0220_01_rest01,CCNPPEK0220_01,CCNPPEK0220,1,rest01,rest,1.0,1,5.0,CCNPPEK0220_01,3.0,2.0,CCNPPEK0220_01_rest01,1
CCNPPEKI,CCNPPEK0220_01_rest02,CCNPPEK0220_01,CCNPPEK0220,1,rest02,rest,2.0,1,5.0,CCNPPEK0220_01,3.0,2.0,CCNPPEK0220_01_rest02,1
CCNPPEKI,CCNPPEK0221_01_rest01,CCNPPEK0221_01,CCNPPEK0221,1,rest01,rest,1.0,1,5.0,CCNPPEK0221_01,3.0,2.0,CCNPPEK0221_01_rest01,1
CCNPPEKI,CCNPPEK0221_01_rest02,CCNPPEK0221_01,CCNPPEK0221,1,rest02,rest,2.0,1,5.0,CCNPPEK0221_01,3.0,2.0,CCNPPEK0221_01_rest02,1
CCNPPEKI,CCNPPEK0221_02_rest01,CCNPPEK0221_02,CCNPPEK0221,2,rest01,rest,1.0,1,5.0,CCNPPEK0221_02,3.0,2.0,CCNPPEK0221_02_rest01,1
CCNPPEKI,CCNPPEK0221_02_rest02,CCNPPEK0221_02,CCNPPEK0221,2,rest02,rest,2.0,1,5.0,CCNPPEK0221_02,3.0,2.0,CCNPPEK0221_02_rest02,1
CCNPPEKI,CCNPPEK0222_01_rest01,CCNPPEK0222_01,CCNPPEK0222,1,rest01,rest,1.0,1,5.0,CCNPPEK0222_01,3.0,2.0,CCNPPEK0222_01_rest01,1
CCNPPEKI,CCNPPEK0222_01_rest02,CCNPPEK0222_01,CCNPPEK0222,1,rest02,rest,2.0,1,5.0,CCNPPEK0222_01,3.0,2.0,CCNPPEK0222_01_rest02,1
CCNPPEKI,CCNPPEK0225_01_rest01,CCNPPEK0225_01,CCNPPEK0225,1,rest01,rest,1.0,1,5.0,CCNPPEK0225_01,3.0,2.0,CCNPPEK0225_01_rest01,1
CCNPPEKI,CCNPPEK0225_01_rest02,CCNPPEK0225_01,CCNPPEK0225,1,rest02,rest,2.0,1,5.0,CCNPPEK0225_01,3.0,2.0,CCNPPEK0225_01_rest02,1
CCNPPEKI,CCNPPEK0226_01_rest01,CCNPPEK0226_01,CCNPPEK0226,1,rest01,rest,1.0,1,5.0,CCNPPEK0226_01,3.0,2.0,CCNPPEK0226_01_rest01,1
CCNPPEKI,CCNPPEK0226_01_rest02,CCNPPEK0226_01,CCNPPEK0226,1,rest02,rest,2.0,1,5.0,CCNPPEK0226_01,3.0,2.0,CCNPPEK0226_01_rest02,1
CCNPPEKI,CCNPPEK0227_01_rest01,CCNPPEK0227_01,CCNPPEK0227,1,rest01,rest,1.0,1,5.0,CCNPPEK0227_01,3.0,2.0,CCNPPEK0227_01_rest01,1
CCNPPEKI,CCNPPEK0227_01_rest02,CCNPPEK0227_01,CCNPPEK0227,1,rest02,rest,2.0,1,5.0,CCNPPEK0227_01,3.0,2.0,CCNPPEK0227_01_rest02,1
CCNPPEKI,CCNPPEK0227_02_rest01,CCNPPEK0227_02,CCNPPEK0227,2,rest01,rest,1.0,1,5.0,CCNPPEK0227_02,3.0,2.0,CCNPPEK0227_02_rest01,1
CCNPPEKI,CCNPPEK0227_02_rest02,CCNPPEK0227_02,CCNPPEK0227,2,rest02,rest,2.0,1,5.0,CCNPPEK0227_02,3.0,2.0,CCNPPEK0227_02_rest02,1
CCNPPEKI,CCNPPEK0228_01_rest01,CCNPPEK0228_01,CCNPPEK0228,1,rest01,rest,1.0,1,5.0,CCNPPEK0228_01,3.0,2.0,CCNPPEK0228_01_rest01,1
CCNPPEKI,CCNPPEK0228_01_rest02,CCNPPEK0228_01,CCNPPEK0228,1,rest02,rest,2.0,1,5.0,CCNPPEK0228_01,3.0,2.0,CCNPPEK0228_01_rest02,1
CCNPPEKI,CCNPPEK0228_02_rest01,CCNPPEK0228_02,CCNPPEK0228,2,rest01,rest,1.0,1,5.0,CCNPPEK0228_02,3.0,2.0,CCNPPEK0228_02_rest01,1
CCNPPEKI,CCNPPEK0228_02_rest02,CCNPPEK0228_02,CCNPPEK0228,2,rest02,rest,2.0,1,5.0,CCNPPEK0228_02,3.0,2.0,CCNPPEK0228_02_rest02,1
CCNPPEKI,CCNPPEK0229_01_rest01,CCNPPEK0229_01,CCNPPEK0229,1,rest01,rest,1.0,1,5.0,CCNPPEK0229_01,3.0,2.0,CCNPPEK0229_01_rest01,1
CCNPPEKI,CCNPPEK0229_01_rest02,CCNPPEK0229_01,CCNPPEK0229,1,rest02,rest,2.0,1,5.0,CCNPPEK0229_01,3.0,2.0,CCNPPEK0229_01_rest02,1
CCNPPEKI,CCNPPEK0230_01_rest01,CCNPPEK0230_01,CCNPPEK0230,1,rest01,rest,1.0,1,5.0,CCNPPEK0230_01,3.0,2.0,CCNPPEK0230_01_rest01,1
CCNPPEKI,CCNPPEK0230_01_rest02,CCNPPEK0230_01,CCNPPEK0230,1,rest02,rest,2.0,1,5.0,CCNPPEK0230_01,3.0,2.0,CCNPPEK0230_01_rest02,1
CCNPPEKI,CCNPPEK0231_01_rest01,CCNPPEK0231_01,CCNPPEK0231,1,rest01,rest,1.0,1,5.0,CCNPPEK0231_01,3.0,2.0,CCNPPEK0231_01_rest01,1
CCNPPEKI,CCNPPEK0231_02_rest01,CCNPPEK0231_02,CCNPPEK0231,2,rest01,rest,1.0,1,5.0,CCNPPEK0231_02,3.0,2.0,CCNPPEK0231_02_rest01,1
CCNPPEKI,CCNPPEK0231_02_rest02,CCNPPEK0231_02,CCNPPEK0231,2,rest02,rest,2.0,1,5.0,CCNPPEK0231_02,3.0,2.0,CCNPPEK0231_02_rest02,1
CCNPPEKI,CCNPPEK0232_01_rest01,CCNPPEK0232_01,CCNPPEK0232,1,rest01,rest,1.0,1,5.0,CCNPPEK0232_01,3.0,2.0,CCNPPEK0232_01_rest01,1
CCNPPEKI,CCNPPEK0232_01_rest02,CCNPPEK0232_01,CCNPPEK0232,1,rest02,rest,2.0,1,5.0,CCNPPEK0232_01,3.0,2.0,CCNPPEK0232_01_rest02,1
CCNPPEKI,CCNPPEK0232_02_rest01,CCNPPEK0232_02,CCNPPEK0232,2,rest01,rest,1.0,1,5.0,CCNPPEK0232_02,3.0,2.0,CCNPPEK0232_02_rest01,1
CCNPPEKI,CCNPPEK0232_02_rest02,CCNPPEK0232_02,CCNPPEK0232,2,rest02,rest,2.0,1,5.0,CCNPPEK0232_02,3.0,2.0,CCNPPEK0232_02_rest02,1
CCNPPEKI,CCNPPEK0234_01_rest01,CCNPPEK0234_01,CCNPPEK0234,1,rest01,rest,1.0,1,5.0,CCNPPEK0234_01,3.0,2.0,CCNPPEK0234_01_rest01,1
CCNPPEKI,CCNPPEK0234_01_rest02,CCNPPEK0234_01,CCNPPEK0234,1,rest02,rest,2.0,1,5.0,CCNPPEK0234_01,3.0,2.0,CCNPPEK0234_01_rest02,1
CCNPPEKI,CCNPPEK0235_01_rest01,CCNPPEK0235_01,CCNPPEK0235,1,rest01,rest,1.0,1,5.0,CCNPPEK0235_01,3.0,2.0,CCNPPEK0235_01_rest01,1
CCNPPEKI,CCNPPEK0235_01_rest02,CCNPPEK0235_01,CCNPPEK0235,1,rest02,rest,2.0,1,5.0,CCNPPEK0235_01,3.0,2.0,CCNPPEK0235_01_rest02,1
CCNPPEKI,CCNPPEK0236_01_rest01,CCNPPEK0236_01,CCNPPEK0236,1,rest01,rest,1.0,1,5.0,CCNPPEK0236_01,3.0,2.0,CCNPPEK0236_01_rest01,1
CCNPPEKI,CCNPPEK0236_01_rest02,CCNPPEK0236_01,CCNPPEK0236,1,rest02,rest,2.0,1,5.0,CCNPPEK0236_01,3.0,2.0,CCNPPEK0236_01_rest02,1
CCNPPEKI,CCNPPEK0237_01_rest01,CCNPPEK0237_01,CCNPPEK0237,1,rest01,rest,1.0,1,5.0,CCNPPEK0237_01,3.0,2.0,CCNPPEK0237_01_rest01,1
CCNPPEKI,CCNPPEK0237_01_rest02,CCNPPEK0237_01,CCNPPEK0237,1,rest02,rest,2.0,1,5.0,CCNPPEK0237_01,3.0,2.0,CCNPPEK0237_01_rest02,1
CCNPPEKI,CCNPPEK0238_01_rest01,CCNPPEK0238_01,CCNPPEK0238,1,rest01,rest,1.0,1,5.0,CCNPPEK0238_01,3.0,2.0,CCNPPEK0238_01_rest01,1
CCNPPEKI,CCNPPEK0238_01_rest02,CCNPPEK0238_01,CCNPPEK0238,1,rest02,rest,2.0,1,5.0,CCNPPEK0238_01,3.0,2.0,CCNPPEK0238_01_rest02,1
CCNPPEKI,CCNPPEK0238_02_rest01,CCNPPEK0238_02,CCNPPEK0238,2,rest01,rest,1.0,1,5.0,CCNPPEK0238_02,3.0,2.0,CCNPPEK0238_02_rest01,1
CCNPPEKI,CCNPPEK0238_02_rest02,CCNPPEK0238_02,CCNPPEK0238,2,rest02,rest,2.0,1,5.0,CCNPPEK0238_02,3.0,2.0,CCNPPEK0238_02_rest02,1
CCNPPEKI,CCNPPEK0239_01_rest01,CCNPPEK0239_01,CCNPPEK0239,1,rest01,rest,1.0,1,5.0,CCNPPEK0239_01,3.0,2.0,CCNPPEK0239_01_rest01,1
CCNPPEKI,CCNPPEK0239_01_rest02,CCNPPEK0239_01,CCNPPEK0239,1,rest02,rest,2.0,1,5.0,CCNPPEK0239_01,3.0,2.0,CCNPPEK0239_01_rest02,1
CCNPPEKI,CCNPPEK0240_01_rest01,CCNPPEK0240_01,CCNPPEK0240,1,rest01,rest,1.0,1,5.0,CCNPPEK0240_01,3.0,2.0,CCNPPEK0240_01_rest01,1
CCNPPEKI,CCNPPEK0240_01_rest02,CCNPPEK0240_01,CCNPPEK0240,1,rest02,rest,2.0,1,5.0,CCNPPEK0240_01,3.0,2.0,CCNPPEK0240_01_rest02,1
CCNPPEKI,CCNPPEK0241_01_rest01,CCNPPEK0241_01,CCNPPEK0241,1,rest01,rest,1.0,1,5.0,CCNPPEK0241_01,3.0,2.0,CCNPPEK0241_01_rest01,1
CCNPPEKI,CCNPPEK0241_01_rest02,CCNPPEK0241_01,CCNPPEK0241,1,rest02,rest,2.0,1,5.0,CCNPPEK0241_01,3.0,2.0,CCNPPEK0241_01_rest02,1
CCNPPEKI,CCNPPEK0242_01_rest01,CCNPPEK0242_01,CCNPPEK0242,1,rest01,rest,1.0,1,5.0,CCNPPEK0242_01,3.0,2.0,CCNPPEK0242_01_rest01,1
CCNPPEKI,CCNPPEK0242_01_rest02,CCNPPEK0242_01,CCNPPEK0242,1,rest02,rest,2.0,1,5.0,CCNPPEK0242_01,3.0,2.0,CCNPPEK0242_01_rest02,1
CCNPPEKI,CCNPPEK0243_01_rest01,CCNPPEK0243_01,CCNPPEK0243,1,rest01,rest,1.0,1,5.0,CCNPPEK0243_01,3.0,2.0,CCNPPEK0243_01_rest01,1
CCNPPEKI,CCNPPEK0243_01_rest02,CCNPPEK0243_01,CCNPPEK0243,1,rest02,rest,2.0,1,5.0,CCNPPEK0243_01,3.0,2.0,CCNPPEK0243_01_rest02,1
